epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.835,0.70237,2.04111,2.38031,1.28856,0.00333,1,0.90484,0.67716,0.0032,0.96,0.86747,0.61572,0.56227,1.54232,2.9714,1.21611,0.00034,0.00034,0.00034
2,321.504,0.64812,0.87212,1.52536,1.16215,0.95621,0.58237,0.88202,0.58262,0.91242,0.5557,0.83258,0.61625,0.77369,2.8861,2.79491,1.69837,0.0006769,0.0006769,0.0006769
3,464.084,0.78222,1.0437,1.32842,1.28127,0.73267,0.68,0.69678,0.45614,0.70645,0.65333,0.65025,0.49583,0.87393,3.24241,2.75888,2.15222,0.00099004,0.00099004,0.00099004
4,597.734,0.67544,0.81058,1.13385,1.15836,0.89002,0.64748,0.81568,0.62535,0.8124,0.64,0.73284,0.61716,1.10493,2.80624,2.42265,2.00966,0.00127942,0.00127942,0.00127942
5,728,0.74442,0.84086,1.0526,1.21631,0.81459,0.70667,0.81881,0.6169,0.87233,0.57333,0.61534,0.41194,0.99171,13.4153,2.04392,2.03383,0.00154504,0.00154504,0.00154504
6,861.538,0.71329,0.87085,0.98245,1.17807,0.57135,0.2,0.29598,0.16845,0.5374,0.2,0.31534,0.18546,2.29396,3.79859,4.34094,3.52977,0.00167,0.00167,0.00167
7,992.056,0.71588,0.83979,1.01352,1.19527,0.84953,0.73333,0.8124,0.51499,0.84953,0.73333,0.78211,0.51342,1.23082,4.20878,2.2268,2.13395,0.001604,0.001604,0.001604
8,1125.36,0.7329,0.85335,0.92787,1.17343,0.75605,0.70254,0.79449,0.59729,0.76601,0.74667,0.79585,0.64933,1.03194,3.59046,1.86942,1.82471,0.001538,0.001538,0.001538
9,1258.1,0.898,0.93602,1.1102,1.34977,0.87323,0.64294,0.75499,0.56184,0.8376,0.6,0.68169,0.5143,1.21796,2.47721,1.9173,1.79148,0.001472,0.001472,0.001472
10,1389.86,0.68004,0.78231,0.81511,1.15512,0.81564,0.70667,0.86319,0.60656,0.8257,0.70667,0.85357,0.61826,1.06051,1.41219,1.96726,1.68304,0.001406,0.001406,0.001406
11,1519.53,0.64826,0.72091,0.76231,1.12192,0.88827,0.90667,0.90674,0.72412,0.86071,0.88,0.8857,0.75133,0.72798,0.99161,1.05807,1.45809,0.00134,0.00134,0.00134
12,1648.85,0.71639,0.81544,0.77424,1.21956,0.91002,0.94396,0.9359,0.75933,0.88435,0.91768,0.90432,0.77767,0.64054,0.80023,0.86999,1.47652,0.001274,0.001274,0.001274
13,1755.92,0.58958,0.65159,0.67494,1.0977,0.93987,0.86667,0.91598,0.76266,0.9245,0.85333,0.87312,0.77492,0.666,1.04337,1.0217,1.32591,0.001208,0.001208,0.001208
14,1850.78,0.61376,0.70674,0.68147,1.11714,0.88552,0.92829,0.92724,0.75682,0.86011,0.90182,0.90356,0.79141,0.66454,0.77743,0.93002,1.37154,0.001142,0.001142,0.001142
15,1946.17,0.57282,0.66052,0.66867,1.1045,0.9091,0.85333,0.92235,0.7892,0.90984,0.82667,0.90281,0.77961,0.6257,0.98465,0.93931,1.32911,0.001076,0.001076,0.001076
16,2044.93,0.5261,0.66334,0.63855,1.07288,0.91444,0.88,0.92239,0.77149,0.90044,0.86667,0.89633,0.78626,0.56082,0.81208,0.77079,1.38286,0.00101,0.00101,0.00101
17,2154.88,0.55037,0.66193,0.63295,1.09778,0.94338,0.88871,0.93504,0.82059,0.91648,0.87783,0.91584,0.82602,0.52362,0.65227,0.77035,1.18474,0.000944,0.000944,0.000944
18,2259.86,0.52828,0.60217,0.60515,1.06514,0.88531,0.81333,0.92007,0.8151,0.88531,0.81333,0.9164,0.81843,0.56215,0.81486,0.92304,1.18084,0.000878,0.000878,0.000878
19,2369.71,0.53202,0.71734,0.61755,1.06079,0.97099,0.89266,0.94323,0.78874,0.90643,0.90419,0.9257,0.8053,0.49186,0.71326,0.73626,1.27706,0.000812,0.000812,0.000812
20,2533.18,0.52325,0.66684,0.57749,1.0563,0.9533,0.94667,0.9435,0.80189,0.92645,0.92,0.91402,0.79925,0.54058,0.65182,0.7191,1.30673,0.000746,0.000746,0.000746
21,2674.02,0.45154,0.55339,0.75615,1.04008,0.91816,0.85333,0.92539,0.74055,0.88892,0.82667,0.88479,0.7525,0.72351,0.81494,1.02946,1.43996,0.00068,0.00068,0.00068
22,2797.45,0.47758,0.59203,0.71265,1.10975,0.92491,0.82667,0.89857,0.78135,0.90999,0.81333,0.86828,0.71496,0.56136,1.27635,0.84248,1.31945,0.000614,0.000614,0.000614
23,2963.64,0.44015,0.54078,0.64184,1.09287,0.87683,0.89333,0.92546,0.70776,0.86321,0.88,0.9014,0.7209,0.73233,0.94206,0.98147,1.35215,0.000548,0.000548,0.000548
24,3103.45,0.44798,0.50143,0.62249,1.08423,0.96985,0.94667,0.96175,0.82871,0.94229,0.92,0.94375,0.83209,0.47644,0.5902,0.62687,1.24218,0.000482,0.000482,0.000482
25,3218.76,0.4104,0.45593,0.58775,1.03208,0.96909,0.94667,0.95743,0.84286,0.93641,0.92,0.9415,0.84103,0.48296,0.55389,0.64344,1.24161,0.000416,0.000416,0.000416
26,3335.05,0.4398,0.47991,0.56468,1.12033,0.97257,0.94548,0.97192,0.8474,0.94516,0.91919,0.94217,0.8423,0.45802,0.62286,0.58776,1.25393,0.00035,0.00035,0.00035
27,3446.46,0.36988,0.46904,0.52291,1.01577,0.96633,0.93333,0.96104,0.85185,0.93858,0.90667,0.92348,0.84478,0.4301,0.58661,0.58212,1.16899,0.000284,0.000284,0.000284
28,3560.65,0.34663,0.45834,0.50573,1.00958,0.97256,0.94515,0.95888,0.83916,0.94513,0.91864,0.93267,0.83281,0.44243,0.60063,0.5389,1.26228,0.000218,0.000218,0.000218
29,3675.62,0.34817,0.47,0.47957,0.99186,0.95929,0.9426,0.95279,0.81393,0.93216,0.91605,0.91998,0.80944,0.43871,0.64913,0.52379,1.34146,0.000152,0.000152,0.000152
30,3777.95,0.31842,0.43582,0.48113,0.98565,0.96998,0.93333,0.95675,0.82183,0.94218,0.90667,0.92649,0.82113,0.43534,0.60846,0.52563,1.31791,8.6e-05,8.6e-05,8.6e-05
