epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3161,0.59994,2.49232,2.60428,1.15912,0.00333,1,0.70941,0.51725,0.00333,1,0.70941,0.64543,0.22926,0.32642,3.07864,0.84539,0.00012,0.00012,0.00012
2,122.076,0.30411,0.37222,2.14891,0.90855,0.00333,1,0.995,0.92836,0.00333,1,0.995,0.98963,0.25187,0.21277,3.05229,0.90116,0.00025142,0.00025142,0.00025142
3,188.893,0.40077,0.34871,1.6579,0.91613,0.00333,1,0.995,0.89091,0.00333,1,0.995,0.96244,0.34765,0.68558,2.96996,0.96641,0.0003736,0.0003736,0.0003736
4,249.737,0.40637,0.26339,1.32625,0.92691,0.00333,1,0.985,0.54539,0.00333,1,0.985,0.67862,0.69123,1.02965,3.26462,1.27664,0.00048654,0.00048654,0.00048654
5,325.981,0.41791,0.23914,1.11593,0.94552,0.94848,1,0.995,0.84041,0.94848,1,0.995,0.995,0.47913,0.1884,2.85689,1.19035,0.00059024,0.00059024,0.00059024
6,382.058,0.41403,0.25797,0.96812,0.93257,0.99467,1,0.995,0.89123,0.99467,1,0.995,0.97435,0.40535,0.1655,2.67623,1.09424,0.0006847,0.0006847,0.0006847
7,420.258,0.42438,0.24591,0.8635,0.92823,0.93442,0.5942,0.89105,0.80698,0.93442,0.5942,0.91649,0.76962,0.45559,1.95331,2.70647,1.17579,0.00076992,0.00076992,0.00076992
8,456.966,0.39925,0.23352,0.77788,0.92342,0.99145,1,0.995,0.90159,0.99145,1,0.995,0.97731,0.43389,0.8024,2.36882,1.09654,0.0008459,0.0008459,0.0008459
9,498.713,0.44442,0.20075,0.78877,0.93118,0.93295,0.91667,0.98089,0.75085,0.93295,0.91667,0.98089,0.88327,0.77242,2.2474,2.51417,1.55832,0.00091264,0.00091264,0.00091264
10,535.879,0.39729,0.27677,0.74894,0.9266,1,0.75038,0.995,0.93468,1,0.75038,0.995,0.85652,0.4235,2.27607,2.64627,1.02567,0.00097014,0.00097014,0.00097014
11,573.91,0.4166,0.22849,0.76339,0.94891,1,0.99171,0.995,0.93625,1,0.99171,0.995,0.93647,0.37406,1.18532,2.30438,0.9901,0.0010184,0.0010184,0.0010184
12,611.36,0.40245,0.19548,0.73124,0.92672,0.99565,1,0.995,0.91211,0.9736,0.95833,0.95725,0.8804,0.45838,1.16537,1.95898,1.157,0.00105742,0.00105742,0.00105742
13,648.116,0.37286,0.21149,0.67303,0.92224,0.99493,1,0.995,0.94156,0.99493,1,0.995,0.98702,0.3602,0.23162,1.97468,0.96247,0.0010872,0.0010872,0.0010872
14,687.555,0.36188,0.21772,0.63857,0.89482,0.99646,1,0.995,0.95001,0.99646,1,0.995,0.995,0.35373,0.10779,1.33505,0.94826,0.00110774,0.00110774,0.00110774
15,726.774,0.39381,0.20744,0.6292,0.90671,0.99658,1,0.995,0.90336,0.99658,1,0.995,0.99101,0.43434,0.14752,1.62497,1.02719,0.001076,0.001076,0.001076
16,764.172,0.3995,0.24775,0.63666,0.9091,0.99493,1,0.995,0.94321,0.99493,1,0.995,0.995,0.3691,0.14311,1.32532,1.04173,0.00101,0.00101,0.00101
17,800.989,0.3891,0.19585,0.62026,0.91687,0.99725,1,0.995,0.93853,0.99725,1,0.995,0.995,0.38529,0.10522,1.22558,1.01019,0.000944,0.000944,0.000944
18,839.957,0.36503,0.18263,0.57037,0.90345,0.99717,1,0.995,0.91254,0.99717,1,0.995,0.995,0.41467,0.10734,1.17687,0.99625,0.000878,0.000878,0.000878
19,879.108,0.34459,0.18616,0.55152,0.92019,1,0.99648,0.995,0.94504,1,0.99648,0.995,0.995,0.33684,0.11344,1.22999,0.90328,0.000812,0.000812,0.000812
