epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,58.7752,1.09848,0.93452,1,0.21014,0.000221625,0.000221625,0.000221625
2,134.254,0.32986,0.90357,0.99881,0.29718,0.000429308,0.000429308,0.000429308
3,200.106,0.29686,0.90714,1,0.26641,0.000622317,0.000622317,0.000622317
4,274.876,0.27654,0.94167,1,0.16047,0.000600967,0.000600967,0.000600967
5,341.07,0.28176,0.91786,1,0.23688,0.000578956,0.000578956,0.000578956
6,411.461,0.22801,0.94881,1,0.1394,0.000556945,0.000556945,0.000556945
7,474.699,0.22725,0.95714,1,0.12178,0.000534934,0.000534934,0.000534934
8,538.216,0.21765,0.95833,1,0.12978,0.000512923,0.000512923,0.000512923
9,592.413,0.18882,0.94881,0.99762,0.15003,0.000490912,0.000490912,0.000490912
10,644.471,0.17625,0.94881,1,0.14352,0.000468901,0.000468901,0.000468901
11,698.635,0.18175,0.95476,1,0.11542,0.00044689,0.00044689,0.00044689
12,749.416,0.15893,0.9369,1,0.15298,0.000424879,0.000424879,0.000424879
13,806.022,0.14838,0.94643,1,0.1502,0.000402868,0.000402868,0.000402868
14,859.473,0.15472,0.95714,1,0.10634,0.000380857,0.000380857,0.000380857
15,913.303,0.13576,0.95119,1,0.10517,0.000358846,0.000358846,0.000358846
16,967.281,0.12474,0.9631,1,0.09468,0.000336835,0.000336835,0.000336835
17,1018.09,0.12179,0.9619,1,0.07146,0.000314824,0.000314824,0.000314824
18,1071.94,0.12145,0.9619,1,0.10302,0.000292813,0.000292813,0.000292813
19,1126.43,0.10744,0.95952,1,0.09684,0.000270802,0.000270802,0.000270802
20,1179.32,0.10066,0.96429,1,0.08156,0.000248791,0.000248791,0.000248791
21,1234.58,0.1086,0.96071,1,0.10022,0.00022678,0.00022678,0.00022678
22,1287.28,0.09609,0.95,1,0.10373,0.000204769,0.000204769,0.000204769
23,1343.41,0.09787,0.9631,1,0.07627,0.000182758,0.000182758,0.000182758
24,1395.93,0.08407,0.9619,1,0.09113,0.000160747,0.000160747,0.000160747
25,1448.09,0.0799,0.96667,1,0.07452,0.000138736,0.000138736,0.000138736
26,1500.26,0.07857,0.97143,1,0.06173,0.000116725,0.000116725,0.000116725
27,1549.37,0.08642,0.96667,1,0.07584,9.4714e-05,9.4714e-05,9.4714e-05
28,1602.08,0.08578,0.975,1,0.06151,7.2703e-05,7.2703e-05,7.2703e-05
29,1653.29,0.06891,0.97381,1,0.06388,5.0692e-05,5.0692e-05,5.0692e-05
30,1704.56,0.06849,0.97024,1,0.06353,2.8681e-05,2.8681e-05,2.8681e-05
