epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.4701,1.85977,0.8843,0.99587,0.48913,0.000219807,0.000219807,0.000219807
2,23.0731,0.61647,0.93388,1,0.21531,0.00042755,0.00042755,0.00042755
3,32.3937,0.41795,0.93388,1,0.21306,0.000620618,0.000620618,0.000620618
4,41.7793,0.39852,0.94215,0.99587,0.15328,0.000600967,0.000600967,0.000600967
5,45.8264,0.35211,0.93388,1,0.19299,0.000578956,0.000578956,0.000578956
6,55.1473,0.31722,0.94215,0.99587,0.14979,0.000556945,0.000556945,0.000556945
7,64.3328,0.29542,0.93802,1,0.1862,0.000534934,0.000534934,0.000534934
8,73.5586,0.26673,0.94628,1,0.16467,0.000512923,0.000512923,0.000512923
9,82.6717,0.27049,0.95868,1,0.11581,0.000490912,0.000490912,0.000490912
10,91.9866,0.2209,0.93802,1,0.16902,0.000468901,0.000468901,0.000468901
11,100.184,0.22639,0.95041,1,0.13047,0.00044689,0.00044689,0.00044689
12,104.785,0.22956,0.96281,0.99587,0.09829,0.000424879,0.000424879,0.000424879
13,114.077,0.20628,0.94215,1,0.15127,0.000402868,0.000402868,0.000402868
14,123.469,0.17444,0.95868,1,0.10676,0.000380857,0.000380857,0.000380857
15,132.44,0.17827,0.94628,0.99587,0.12297,0.000358846,0.000358846,0.000358846
16,141.842,0.15846,0.94628,0.99587,0.14392,0.000336835,0.000336835,0.000336835
17,151.202,0.14397,0.95455,0.99587,0.14457,0.000314824,0.000314824,0.000314824
18,160.889,0.15124,0.95868,1,0.10018,0.000292813,0.000292813,0.000292813
19,168.584,0.13721,0.95868,1,0.12067,0.000270802,0.000270802,0.000270802
20,175.152,0.14159,0.95041,1,0.10792,0.000248791,0.000248791,0.000248791
21,227.014,0.1536,0.94628,1,0.13046,0.00022678,0.00022678,0.00022678
22,231.065,0.11853,0.95868,1,0.10145,0.000204769,0.000204769,0.000204769
23,240.049,0.13043,0.95455,1,0.10369,0.000182758,0.000182758,0.000182758
24,249.851,0.10515,0.95868,1,0.09649,0.000160747,0.000160747,0.000160747
25,259.459,0.09829,0.97107,1,0.08723,0.000138736,0.000138736,0.000138736
26,269.659,0.09096,0.96281,1,0.09829,0.000116725,0.000116725,0.000116725
27,280.185,0.10651,0.95455,1,0.1096,9.4714e-05,9.4714e-05,9.4714e-05
28,289.812,0.08434,0.95868,1,0.11723,7.2703e-05,7.2703e-05,7.2703e-05
29,299.579,0.08022,0.95868,1,0.10162,5.0692e-05,5.0692e-05,5.0692e-05
30,306.411,0.08559,0.96281,1,0.10343,2.8681e-05,2.8681e-05,2.8681e-05
